label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,3,52,368.79983133491015,246.70577520096708,776.3807090433272,9.851922963512095
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,4,36,354.0546787194415,206.90681988327503,786.6210375425337,9.683589738243665
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,5,20,569.5214734634701,445.1846340722079,909.4970003019308,10.741493739349686
E_same_LST_12days_30deg_step_stacked__threshold_0.1,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.1,6,4,716.0777171460747,546.0751478448701,1053.1445919095559,10.279303626179082
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,0,64,1576.5584611884674,911.1084398287605,3294.939610117063,37.916380710783564
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,1,64,576.734258023671,398.0773568339447,1048.0129087606047,15.931904770101461
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,2,64,492.12509647903835,324.1977757371908,993.1465352072387,13.278652348707901
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,3,60,255.28361734822732,185.5072048520292,482.9978757770304,10.33780731516666
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,4,44,392.56344196720335,209.21032739441534,830.3981786334701,10.020924399814074
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,5,28,505.37170116290724,343.47365451893825,809.4302954981565,9.906851166914908
E_same_LST_12days_30deg_step_stacked__threshold_0.05,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.05,6,12,524.6825927646075,300.5219427798519,975.7507837544175,10.519596108478668
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,0,64,2304.6866712138053,1384.6486524943925,5106.994641668042,62.03160294255635
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,1,64,1052.8883280332968,475.86036314282796,2344.1020822605974,22.051182149043562
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,2,64,474.95344092697303,327.78296756953114,871.1831648672446,13.95839808165189
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,3,64,447.0331961794258,213.29916253377996,938.7982769979742,11.614455396642377
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,4,52,348.503651366279,246.83630118479687,727.5122287982782,10.076704182801844
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,5,36,337.0990716768246,179.2631311842158,715.9979896948628,9.877604010176938
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,6,20,577.7968523203332,459.3787489832947,893.037047555605,11.22307354883813
E_same_LST_12days_30deg_step_stacked__threshold_0.03,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.03,7,4,712.1696757910153,560.2270597633236,1037.1009082020507,10.57895258710738
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,0,64,2304.6866712138053,1384.6486524943925,5106.994641668042,62.03160294255635
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,1,64,1052.8883280332968,475.86036314282796,2344.1020822605974,22.051182149043562
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,2,64,474.95344092697303,327.78296756953114,871.1831648672446,13.95839808165189
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,3,64,447.0331961794258,213.29916253377996,938.7982769979742,11.614455396642377
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,4,52,348.503651366279,246.83630118479687,727.5122287982782,10.076704182801844
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,5,36,337.0990716768246,179.2631311842158,715.9979896948628,9.877604010176938
E_same_LST_12days_30deg_step_stacked__threshold_0.02,E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",0.02,6,20,577.7968523203332,459.3787489832947,893.037047555605,11.22307354883813
